id,Indice,Indice_d,Categoria,Categoria_d,Grupo,Grupo_d,Elemento,Descricao,variavel,Categoria_key,Grupo_key
1.7.8,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,8,Contemporary Start of Coding Period,codingstart_contemp,1.7,1.7.8
1.7.9,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,9,Historical Start of Coding Period,codingstart_hist,1.7,1.7.9
1.7.10,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,10,Gap in Coding Period Starts,gapstart,1.7,1.7.1
1.7.11,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,11,Gap in Coding Period Ends,gapend,1.7,1.7.1
1.7.12,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,12,Gap index,gap_index,1.7,1.7.1
1.7.13,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,13,End of Coding Period,codingend,1.7,1.7.1
1.7.14,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,14,Historical End of Coding Period,codingend_contemp,1.7,1.7.1
1.7.15,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,15,Historical End of Coding Period,codingend_hist,1.7,1.7.1
1.7.16,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,16,V-Dem Project,project,1.7,1.7.1
1.7.17,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,17,Historical V-Dem coding,historical,1.7,1.7.1
1.7.18,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,18,COW Code,COWcode,1.7,1.7.1
2,2,V-Dem Democracy Indices,,,,,,V-Dem Democracy Indices,,,
2.1,2,V-Dem Democracy Indices,1,V-Dem High-Level Democracy Indices,,,,V-Dem High-Level Democracy Indices,,2.1,
2.1.1,2,V-Dem Democracy Indices,1,V-Dem High-Level Democracy Indices,,,1,Electoral democracy index,v2x_polyarchy,2.1,2.1.1
2.1.2,2,V-Dem Democracy Indices,1,V-Dem High-Level Democracy Indices,,,2,Liberal democracy index,v2x_libdem,2.1,2.1.2
2.1.3,2,V-Dem Democracy Indices,1,V-Dem High-Level Democracy Indices,,,3,Participatory democracy index,v2x_partipdem,2.1,2.1.3
2.1.4,2,V-Dem Democracy Indices,1,V-Dem High-Level Democracy Indices,,,4,Deliberative democracy index,v2x_delibdem,2.1,2.1.4
2.1.5,2,V-Dem Democracy Indices,1,V-Dem High-Level Democracy Indices,,,5,Egalitarian democracy index,v2x_egaldem,2.1,2.1.5
2.2,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,,V-Dem Mid-Level Indices: Components of the Democracy Indices,,2.2,
2.2.1,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,1,Additive polyarchy index,v2x_api,2.2,2.2.1
2.2.2,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,2,Multiplicative polyarchy index,v2x_mpi,2.2,2.2.2
2.2.3,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,3,Freedom of Expression and Alternative Sources of Information index,v2x_freexp_altinf,2.2,2.2.3
2.2.4,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,4,Freedom of association thick index,v2x_frassoc_thick,2.2,2.2.4
2.2.5,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,5,Share of population with suffrage,v2x_suffr,2.2,2.2.5
2.2.6,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,6,Clean elections index,v2xel_frefair,2.2,2.2.6
2.2.7,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,7,Elected officials index,v2x_elecoff,2.2,2.2.7
2.2.8,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,8,Liberal component index,v2x_liberal,2.2,2.2.8
2.2.9,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,9,Equality before the law and individual liberty index,v2xcl_rol,2.2,2.2.9
2.2.10,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,10,Judicial constraints on the executive index,v2x_jucon,2.2,2.2.1
2.2.11,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,11,Legislative constraints on the executive index,v2xlg_legcon,2.2,2.2.1
2.2.12,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,12,Participatory component index,v2x_partip,2.2,2.2.1
2.2.13,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,13,Civil society participation index,v2x_cspart,2.2,2.2.1
2.2.14,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,14,Direct popular vote index,v2xdd_dd,2.2,2.2.1
2.2.15,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,15,Local government index,v2xel_locelec,2.2,2.2.1
2.2.16,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,16,Regional government index,v2xel_regelec,2.2,2.2.1
2.2.17,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,17,Deliberative component index,v2xdl_delib,2.2,2.2.1
2.2.18,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,18,Egalitarian component index,v2x_egal,2.2,2.2.1
2.2.19,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,19,Equal protection index,v2xeg_eqprotec,2.2,2.2.1
2.2.20,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,20,Equal access index,v2xeg_eqaccess,2.2,2.2.2
2.2.21,2,V-Dem Democracy Indices,2,V-Dem Mid-Level Indices: Components of the Democracy Indices,,,21,Equal distribution of resources index,v2xeg_eqdr,2.2,2.2.2
3,3,V-Dem Indicators,,,,,,V-Dem Indicators,,,
3.1,3,V-Dem Indicators,1,Elections,,,,Elections,,3.1,
3.1.0.1,3,V-Dem Indicators,1,Elections,0,,1,Election type,v2eltype,3.1,3.1.0
3.1.1,3,V-Dem Indicators,1,Elections,1,Suffrage,,Suffrage,,3.1,3.1.1
3.1.1.1,3,V-Dem Indicators,1,Elections,1,Suffrage,1,Suffrage,v2asuffrage,3.1,3.1.1
3.1.1.2,3,V-Dem Indicators,1,Elections,1,Suffrage,2,Minimum voting age,v2elage,3.1,3.1.1
3.1.1.3,3,V-Dem Indicators,1,Elections,1,Suffrage,3,Compulsory voting,v2elcomvot,3.1,3.1.1
3.1.1.4,3,V-Dem Indicators,1,Elections,1,Suffrage,4,Female suffrage restricted,v2elfemrst,3.1,3.1.1
3.1.1.5,3,V-Dem Indicators,1,Elections,1,Suffrage,5,Suffrage level,v2elgvsuflvl,3.1,3.1.1
3.1.1.6,3,V-Dem Indicators,1,Elections,1,Suffrage,6,Percentage of population with suffrage,v2elsuffrage,3.1,3.1.1
3.1.1.7,3,V-Dem Indicators,1,Elections,1,Suffrage,7,Fraud allegations by Western monitors,v2elwestmon,3.1,3.1.1
3.1.1.8,3,V-Dem Indicators,1,Elections,1,Suffrage,8,Female suffrage,v2fsuffrage,3.1,3.1.1
3.1.1.9,3,V-Dem Indicators,1,Elections,1,Suffrage,9,Male suffrage,v2msuffrage,3.1,3.1.1
3.1.2,3,V-Dem Indicators,1,Elections,2,Election Qualities,,Election Qualities,,3.1,3.1.2
3.1.2.1,3,V-Dem Indicators,1,Elections,2,Election Qualities,1,Disclosure of campaign donations,v2eldonate,3.1,3.1.2
3.1.2.2,3,V-Dem Indicators,1,Elections,2,Election Qualities,2,Public campaign finance,v2elpubfin,3.1,3.1.2
3.1.2.3,3,V-Dem Indicators,1,Elections,2,Election Qualities,3,EMB autonomy,v2elembaut,3.1,3.1.2
3.1.2.4,3,V-Dem Indicators,1,Elections,2,Election Qualities,4,EMB capacity,v2elembcap,3.1,3.1.2
3.1.2.5,3,V-Dem Indicators,1,Elections,2,Election Qualities,5,Elections multiparty,v2elmulpar,3.1,3.1.2
3.1.2.6,3,V-Dem Indicators,1,Elections,2,Election Qualities,6,Election voter registry,v2elrgstry,3.1,3.1.2
3.1.2.7,3,V-Dem Indicators,1,Elections,2,Election Qualities,7,Election vote buying,v2elvotbuy,3.1,3.1.2
3.1.2.8,3,V-Dem Indicators,1,Elections,2,Election Qualities,8,Election other voting irregularities,v2elirreg,3.1,3.1.2
3.1.2.9,3,V-Dem Indicators,1,Elections,2,Election Qualities,9,Election government intimidation,v2elintim,3.1,3.1.2
3.1.2.10,3,V-Dem Indicators,1,Elections,2,Election Qualities,10,Election other electoral violence,v2elpeace,3.1,3.1.2
3.1.2.11,3,V-Dem Indicators,1,Elections,2,Election Qualities,11,Election boycotts,v2elboycot,3.1,3.1.2
3.1.2.12,3,V-Dem Indicators,1,Elections,2,Election Qualities,12,Election free campaign media,v2elfrcamp,3.1,3.1.2
3.1.2.13,3,V-Dem Indicators,1,Elections,2,Election Qualities,13,Election paid campaign advertisements,v2elpdcamp,3.1,3.1.2
3.1.2.14,3,V-Dem Indicators,1,Elections,2,Election Qualities,14,Election paid interest group media,v2elpaidig,3.1,3.1.2
3.1.2.15,3,V-Dem Indicators,1,Elections,2,Election Qualities,15,Election free and fair,v2elfrfair,3.1,3.1.2
3.1.2.16,3,V-Dem Indicators,1,Elections,2,Election Qualities,16,Election domestic election monitors,v2eldommon,3.1,3.1.2
3.1.2.17,3,V-Dem Indicators,1,Elections,2,Election Qualities,17,Election international monitors,v2elintmon,3.1,3.1.2
3.1.2.18,3,V-Dem Indicators,1,Elections,2,Election Qualities,18,Election international monitors denied,v2elmonden,3.1,3.1.2
3.1.2.19,3,V-Dem Indicators,1,Elections,2,Election Qualities,19,Monitors refuse to be present,v2elmonref,3.1,3.1.2
3.1.2.20,3,V-Dem Indicators,1,Elections,2,Election Qualities,20,"Candidate restriction by ethnicity, race, religion, or language",v2elrstrct,3.1,3.1.2
3.1.3,3,V-Dem Indicators,1,Elections,3,Election Outcomes,,Election Outcomes,,3.1,3.1.3
3.1.3.1,3,V-Dem Indicators,1,Elections,3,Election Outcomes,1,Election losers accept results,v2elaccept,3.1,3.1.3
3.1.3.2,3,V-Dem Indicators,1,Elections,3,Election Outcomes,2,Election assume office,v2elasmoff,3.1,3.1.3
3.1.3.3,3,V-Dem Indicators,1,Elections,3,Election Outcomes,3,Election turnout,v2eltrnout,3.1,3.1.3
3.1.3.4,3,V-Dem Indicators,1,Elections,3,Election Outcomes,4,Election VAP turnout,v2elvaptrn,3.1,3.1.3
3.1.3.5,3,V-Dem Indicators,1,Elections,3,Election Outcomes,5,Name of largest party,v2lpname,3.1,3.1.3
3.1.3.6,3,V-Dem Indicators,1,Elections,3,Election Outcomes,6,Name of second largest party,v2slpname,3.1,3.1.3
3.1.3.7,3,V-Dem Indicators,1,Elections,3,Election Outcomes,7,Name of third largest party,v2tlpname,3.1,3.1.3
3.1.4,3,V-Dem Indicators,1,Elections,4,Executive Elections Specifics,,Executive Elections Specifics,,3.1,3.1.4
3.1.4.1,3,V-Dem Indicators,1,Elections,4,Executive Elections Specifics,1,Presidential elections consecutive,v2elprescons,3.1,3.1.4
3.1.4.2,3,V-Dem Indicators,1,Elections,4,Executive Elections Specifics,2,Presidential elections cumulative,v2elprescumul,3.1,3.1.4
3.1.4.3,3,V-Dem Indicators,1,Elections,4,Executive Elections Specifics,3,"HOG restriction by ethnicity, race, religion, or language",v2elrsthog,3.1,3.1.4
3.1.4.4,3,V-Dem Indicators,1,Elections,4,Executive Elections Specifics,4,"HOS restriction by ethnicity, race, religion, or language",v2elrsthos,3.1,3.1.4
3.1.4.5,3,V-Dem Indicators,1,Elections,4,Executive Elections Specifics,5,Election HOG turnover ordinal,v2elturnhog,3.1,3.1.4
3.1.4.6,3,V-Dem Indicators,1,Elections,4,Executive Elections Specifics,6,Election HOS turnover ordinal,v2elturnhos,3.1,3.1.4
3.1.4.7,3,V-Dem Indicators,1,Elections,4,Executive Elections Specifics,7,Election executive turnover ordinal,v2eltvrexo,3.1,3.1.4
3.1.4.8,3,V-Dem Indicators,1,Elections,4,Executive Elections Specifics,8,Presidential election vote share of largest vote-getter,v2elvotlrg,3.1,3.1.4
3.1.4.9,3,V-Dem Indicators,1,Elections,4,Executive Elections Specifics,9,Presidential election vote share of second-largest vote-getter,v2elvotsml,3.1,3.1.4
3.1.5,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,,Lower Chamber Specifics,,3.1,3.1.5
3.1.5.1,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,1,Lower chamber ‘base’ tier electoral districts,v2ellobadis,3.1,3.1.5
3.1.5.2,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,2,Lower chamber ‘base’ or ‘nominal’ tier seats,v2ellobaseat,3.1,3.1.5
3.1.5.3,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,3,Lower chamber election consecutive,v2ellocons,3.1,3.1.5
3.1.5.4,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,4,Lower chamber election cumulative,v2ellocumul,3.1,3.1.5
3.1.5.5,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,5,Lower chamber election district effective magnitude,v2ellodiseff,3.1,3.1.5
3.1.5.6,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,6,Lower chamber election district magnitude,v2elloeldm,3.1,3.1.5
3.1.5.7,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,7,Lower chamber electoral system — 13 categories,v2elloelsy,3.1,3.1.5
3.1.5.8,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,8,Lower chamber hybrid system reserved seats,v2elloreseat,3.1,3.1.5
3.1.5.9,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,9,Lower chamber election seats,v2elloseat,3.1,3.1.5
3.1.5.10,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,10,Lower chamber election seats won by largest party,v2ellostlg,3.1,3.1.5
3.1.5.11,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,11,Lower chamber election seat share won by largest party,v2ellostsl,3.1,3.1.5
3.1.5.12,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,12,Lower chamber election seats won by second largest party,v2ellostsm,3.1,3.1.5
3.1.5.13,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,13,Lower chamber election seat share won by second largest party,v2ellostss,3.1,3.1.5
3.1.5.14,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,14,Lower chamber election seats won by third largest party,v2ellosttm,3.1,3.1.5
3.1.5.15,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,15,Lower chamber election seat share won by third largest party,v2ellostts,3.1,3.1.5
3.1.5.16,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,16,Lower chamber ‘upper’ tier electoral districts,v2elloupdis,3.1,3.1.5
3.1.5.17,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,17,Lower chamber election vote share of largest vote-getter,v2ellovtlg,3.1,3.1.5
3.1.5.18,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,18,Lower chamber election vote share of second-largest vote-getter,v2ellovtsm,3.1,3.1.5
3.1.5.19,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,19,Lower chamber election vote share of third-largest vote-getter,v2ellovttm,3.1,3.1.5
3.1.5.20,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,20,Lower chamber electoral system,v2elparlel,3.1,3.1.5
3.1.5.21,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,21,Lower chamber election statutory threshold,v2elthresh,3.1,3.1.5
3.1.5.22,3,V-Dem Indicators,1,Elections,5,Lower Chamber Specifics,22,Lower chamber election turnover,v2eltvrig,3.1,3.1.5
3.1.6,3,V-Dem Indicators,1,Elections,6,Subnational,,Subnational,,3.1,3.1.6
3.1.6.1,3,V-Dem Indicators,1,Elections,6,Subnational,1,Regional government exists,v2elreggov,3.1,3.1.6
3.1.6.2,3,V-Dem Indicators,1,Elections,6,Subnational,2,Regional government name,v2elregnam,3.1,3.1.6
3.1.6.3,3,V-Dem Indicators,1,Elections,6,Subnational,3,Regional government elected,v2elsrgel,3.1,3.1.6
3.1.6.4,3,V-Dem Indicators,1,Elections,6,Subnational,4,Regional offices relative power,v2elrgpwr,3.1,3.1.6
3.1.6.5,3,V-Dem Indicators,1,Elections,6,Subnational,5,Local government exists,v2ellocgov,3.1,3.1.6
3.1.6.6,3,V-Dem Indicators,1,Elections,6,Subnational,6,Local government name,v2ellocnam,3.1,3.1.6
3.1.6.7,3,V-Dem Indicators,1,Elections,6,Subnational,7,Local government elected,v2ellocelc,3.1,3.1.6
3.1.6.8,3,V-Dem Indicators,1,Elections,6,Subnational,8,Local offices relative power,v2ellocpwr,3.1,3.1.6
3.1.6.9,3,V-Dem Indicators,1,Elections,6,Subnational,9,Subnational elections free and fair,v2elffelr,3.1,3.1.6
3.1.6.10,3,V-Dem Indicators,1,Elections,6,Subnational,10,Subnational elections held,v2elffelrbin,3.1,3.1.6
3.1.6.11,3,V-Dem Indicators,1,Elections,6,Subnational,11,Subnational election unevenness,v2elsnlsff,3.1,3.1.6
3.1.6.12,3,V-Dem Indicators,1,Elections,6,Subnational,12,Subnational election area less free and fair name,v2elsnless,3.1,3.1.6
3.1.6.13,3,V-Dem Indicators,1,Elections,6,Subnational,13,Subnational election area less free and fair characteristics,v2elsnlfc,3.1,3.1.6
3.1.6.14,3,V-Dem Indicators,1,Elections,6,Subnational,14,Subnational election area more free and fair name,v2elsnmore,3.1,3.1.6
3.1.6.15,3,V-Dem Indicators,1,Elections,6,Subnational,15,Subnational election area more free and fair characteristics,v2elsnmrfc,3.1,3.1.6
3.2,3,V-Dem Indicators,2,Political Parties,,,,Political Parties,,3.2,
3.2.0.1,3,V-Dem Indicators,2,Political Parties,0,,1,Barriers to parties,v2psbars,3.2,3.2.0
3.2.0.2,3,V-Dem Indicators,2,Political Parties,0,,2,Party ban,v2psparban,3.2,3.2.0
3.2.0.3,3,V-Dem Indicators,2,Political Parties,0,,3,Party ban target,v2psbantar,3.2,3.2.0
3.2.0.4,3,V-Dem Indicators,2,Political Parties,0,,4,Opposition parties autonomy,v2psoppaut,3.2,3.2.0
3.2.0.5,3,V-Dem Indicators,2,Political Parties,0,,5,Party organizations,v2psorgs,3.2,3.2.0
3.2.0.6,3,V-Dem Indicators,2,Political Parties,0,,6,Party branches,v2psprbrch,3.2,3.2.0
3.2.0.7,3,V-Dem Indicators,2,Political Parties,0,,7,Party linkages,v2psprlnks,3.2,3.2.0
3.2.0.8,3,V-Dem Indicators,2,Political Parties,0,,8,Distinct party platforms,v2psplats,3.2,3.2.0
3.2.0.9,3,V-Dem Indicators,2,Political Parties,0,,9,Candidate selection-national/local,v2pscnslnl,3.2,3.2.0
3.2.0.10,3,V-Dem Indicators,2,Political Parties,0,,10,Legislative party cohesion,v2pscohesv,3.2,3.2.0
3.2.0.11,3,V-Dem Indicators,2,Political Parties,0,,11,Party competition across regions,v2pscomprg,3.2,3.2.0
3.2.0.12,3,V-Dem Indicators,2,Political Parties,0,,12,National party control,v2psnatpar,3.2,3.2.0
3.2.0.13,3,V-Dem Indicators,2,Political Parties,0,,13,Subnational party control,v2pssunpar,3.2,3.2.0
3.3,3,V-Dem Indicators,3,Direct Democracy,,,,Direct Democracy,,3.3,
3.3.1,3,V-Dem Indicators,3,Direct Democracy,1,Initiatives,,Initiatives,,3.3,3.3.1
3.3.1.1,3,V-Dem Indicators,3,Direct Democracy,1,Initiatives,1,Initiatives permitted,v2ddlexci,3.3,3.3.1
3.3.1.2,3,V-Dem Indicators,3,Direct Democracy,1,Initiatives,2,Initiatives signatures,v2ddsignci,3.3,3.3.1
3.3.1.3,3,V-Dem Indicators,3,Direct Democracy,1,Initiatives,3,Initiatives signatures %,v2ddsigpci,3.3,3.3.1
3.3.1.4,3,V-Dem Indicators,3,Direct Democracy,1,Initiatives,4,Initiatives signature-gathering period,v2ddsigdci,3.3,3.3.1
3.3.1.5,3,V-Dem Indicators,3,Direct Democracy,1,Initiatives,5,Initiatives signature-gathering time limit,v2ddsiglci,3.3,3.3.1
3.3.1.6,3,V-Dem Indicators,3,Direct Democracy,1,Initiatives,6,Initiatives participation threshold,v2ddpartci,3.3,3.3.1
3.3.1.7,3,V-Dem Indicators,3,Direct Democracy,1,Initiatives,7,Initiatives approval threshold,v2ddapprci,3.3,3.3.1
3.3.1.8,3,V-Dem Indicators,3,Direct Democracy,1,Initiatives,8,Initiatives administrative threshold,v2ddadmci,3.3,3.3.1
3.3.1.9,3,V-Dem Indicators,3,Direct Democracy,1,Initiatives,9,Initiatives super majority,v2ddspmci,3.3,3.3.1
3.3.1.10,3,V-Dem Indicators,3,Direct Democracy,1,Initiatives,10,Popular initiative credible threat,v2ddthreci,3.3,3.3.1
3.3.2,3,V-Dem Indicators,3,Direct Democracy,2,Referendums,,Referendums,,3.3,3.3.2
3.3.2.1,3,V-Dem Indicators,3,Direct Democracy,2,Referendums,1,Referendums permitted,v2ddlexrf,3.3,3.3.2
3.3.2.2,3,V-Dem Indicators,3,Direct Democracy,2,Referendums,2,Referendums signatures,v2ddsignrf,3.3,3.3.2
3.3.2.3,3,V-Dem Indicators,3,Direct Democracy,2,Referendums,3,Referendums signatures %,v2ddsigprf,3.3,3.3.2
3.3.2.4,3,V-Dem Indicators,3,Direct Democracy,2,Referendums,4,Referendums signature-gathering period,v2ddsigdrf,3.3,3.3.2
3.3.2.5,3,V-Dem Indicators,3,Direct Democracy,2,Referendums,5,Referendums signature-gathering limit,v2ddsiglrf,3.3,3.3.2
3.3.2.6,3,V-Dem Indicators,3,Direct Democracy,2,Referendums,6,Referendums participation threshold,v2ddpartrf,3.3,3.3.2
3.3.2.7,3,V-Dem Indicators,3,Direct Democracy,2,Referendums,7,Referendums approval threshold,v2ddapprrf,3.3,3.3.2
3.3.2.8,3,V-Dem Indicators,3,Direct Democracy,2,Referendums,8,Referendums administrative threshold,v2ddadmrf,3.3,3.3.2
3.3.2.9,3,V-Dem Indicators,3,Direct Democracy,2,Referendums,9,Referendums super majority,v2ddspmrf,3.3,3.3.2
3.3.2.10,3,V-Dem Indicators,3,Direct Democracy,2,Referendums,10,Popular referendum credible threat,v2ddthrerf,3.3,3.3.2
3.3.3,3,V-Dem Indicators,3,Direct Democracy,3,Obligatory referendums,,Obligatory referendums,,3.3,3.3.3
3.3.3.1,3,V-Dem Indicators,3,Direct Democracy,3,Obligatory referendums,1,Enforcement of Constitutional changes through popular vote,v2ddlexor,3.3,3.3.3
3.3.3.2,3,V-Dem Indicators,3,Direct Democracy,3,Obligatory referendums,2,Obligatory referendum participation threshold,v2ddpartor,3.3,3.3.3
3.3.3.3,3,V-Dem Indicators,3,Direct Democracy,3,Obligatory referendums,3,Obligatory referendum approval threshold,v2ddappor,3.3,3.3.3
3.3.3.4,3,V-Dem Indicators,3,Direct Democracy,3,Obligatory referendums,4,Obligatory referendum administrative threshold,v2ddadmor,3.3,3.3.3
3.3.3.5,3,V-Dem Indicators,3,Direct Democracy,3,Obligatory referendums,5,Obligatory referendum super majority,v2ddspmor,3.3,3.3.3
3.3.3.6,3,V-Dem Indicators,3,Direct Democracy,3,Obligatory referendums,6,Obligatory referendum credible threat,v2ddthreor,3.3,3.3.3
3.3.4,3,V-Dem Indicators,3,Direct Democracy,4,Plebiscites,,Plebiscites,,3.3,3.3.4
3.3.4.1,3,V-Dem Indicators,3,Direct Democracy,4,Plebiscites,1,Plebiscites permitted,v2ddlexpl,3.3,3.3.4
3.3.4.2,3,V-Dem Indicators,3,Direct Democracy,4,Plebiscites,2,Plebiscites participation threshold,v2ddpartpl,3.3,3.3.4
3.3.4.3,3,V-Dem Indicators,3,Direct Democracy,4,Plebiscites,3,Plebiscites approval threshold,v2ddapprpl,3.3,3.3.4
3.3.4.4,3,V-Dem Indicators,3,Direct Democracy,4,Plebiscites,4,Plebiscites administrative threshold,v2ddadmpl,3.3,3.3.4
3.3.4.5,3,V-Dem Indicators,3,Direct Democracy,4,Plebiscites,5,Plebiscites super majority,v2ddspmpl,3.3,3.3.4
3.3.4.6,3,V-Dem Indicators,3,Direct Democracy,4,Plebiscites,6,Plebiscites credible threat,v2ddthrepl,3.3,3.3.4
3.3.5,3,V-Dem Indicators,3,Direct Democracy,5,Occurrences,,Occurrences,,3.3,3.3.5
3.3.5.1,3,V-Dem Indicators,3,Direct Democracy,5,Occurrences,1,Occurrence of citizen-initiatives this year,v2ddyrci,3.3,3.3.5
3.3.5.2,3,V-Dem Indicators,3,Direct Democracy,5,Occurrences,2,Occurrence of referendum this year,v2ddyrrf,3.3,3.3.5
